Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,2,,,,16,79,1,94,61,10
Sumatera Utara,1,,,2,8,53,,9,18,1
Sumatera Barat,1,,,,18,53,,2,27,5
Riau,,,,,5,6,,21,1,
Jambi,,,,,,20,,2,1,
Sumatera Selatan,,,,,6,33,1,7,8,
Bengkulu,1,,,,1,13,,,5,
Lampung,,,,1,1,17,,,8,2
Kepulauan Bangka Belitung,,,,,2,2,,,7,
Kepulauan Riau,,,,,,2,,5,4,
DKI Jakarta,,,,,,21,,,1,
Jawa Barat,3,,,,208,160,5,7,241,
Jawa Tengah,1,,,2,172,150,7,7,179,5
DI Yogyakarta,,,,,2,1,,,11,1
Jawa Timur,1,,,1,73,117,5,96,113,2
Banten,,,,,4,35,,3,21,
Bali,,,,,12,3,,,23,
Nusa Tenggara Barat,1,,,,1,19,9,3,18,
Nusa Tenggara Timur,,,,1,,3,1,4,8,
Kalimantan Barat,,,,,3,37,,,15,2
Kalimantan Tengah,,,,,1,43,,22,2,1
Kalimantan Selatan,,,,,3,38,,4,24,1
Kalimantan Timur,,,,,7,18,,19,3,
Kalimantan Utara,,,,,2,3,,19,6,
Sulawesi Utara,1,,,,2,10,,,4,
Sulawesi Tengah,1,,,,,31,,,1,
Sulawesi Selatan,,,,,21,45,,,51,4
Sulawesi Tenggara,,,,,2,6,,,7,1
Gorontalo,,,,,,22,,,2,
Sulawesi Barat,1,,,,2,5,,,3,
Maluku,1,,,,1,10,...,2,5,
Maluku Utara,1,,,,,13,,,,1
Papua Barat,,,,,2,6,,,1,
Papua,1,,,,2,6,,,1,
Indonesia,17,,,7,577,1080,29,326,880,36
,,,,,,,,,,
Catatan,,,,,,,,,,
"<ol><li> Kejadian bencana yang terjadi di lebih dari satu wilayah administrasi terdampak, kejadian bencana yang dihitung adalah kejadian bukan berdasarkan wilayah administrasi, sehingga jika satu kejadian bencana berdampak pada lebih dari satu wilayah administrasi, maka pencatatan kejadian bencana tetap ditulis satu kejadian bencana/ <i>Disaster events that occur in more than one affected administrative area, counted disaster incidents are not based on administrative areas, so if one disaster event affects more than one administrative area, the disaster event recording is still written as one disaster event.</i></li><li>Data update per 5 Januari 2021 yang akan terus divalidasi sampai tanggal 31 Maret 2021/<i> Data updates per January 5th, 2021 will continue to be validated until the date of March 31, 2021.</i>",,,,,,,,,,
</li></ol>,,,,,,,,,,
