Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,,,,,8,65,,43,63,1
Sumatera Utara,,,,1,9,22,,7,32,
Sumatera Barat,3,,,,13,29,2,6,47,3
Riau,,,,,2,16,,38,2,
Jambi,,,,,2,12,,10,4,
Sumatera Selatan,,,,,8,30,,41,16,
Bengkulu,,,,,2,15,,5,2,1
Lampung,1,,,,5,10,,28,7,
Kepulauan Bangka Belitung,,,,,1,12,,3,6,
Kepulauan Riau,,,,,4,1,,9,7,
DKI Jakarta,,,,,2,1,,,3,
Jawa Barat,6,,,1,249,105,20,63,252,2
Jawa Tengah,2,,,,284,111,29,76,421,3
DI Yogyakarta,,,,1,6,6,2,,14,
Jawa Timur,3,,,,46,99,26,180,267,1
Banten,1,,,,2,9,4,27,22,
Bali,1,,,3,9,5,3,14,20,1
Nusa Tenggara Barat,2,,,,,19,9,4,22,
Nusa Tenggara Timur,1,,,,3,1,20,,12,1
Kalimantan Barat,,,,,2,19,,15,7,
Kalimantan Tengah,,,,,3,30,,33,10,
Kalimantan Selatan,,,,,10,20,2,62,58,2
Kalimantan Timur,,,,,9,12,,30,2,1
Kalimantan Utara,,,,,1,5,,14,1,
Sulawesi Utara,1,,,1,4,5,1,,6,
Sulawesi Tengah,2,,,,1,18,,2,,
Sulawesi Selatan,,,,,20,46,3,27,67,1
Sulawesi Tenggara,,,,,3,8,1,4,4,
Gorontalo,,,,,,3,,1,2,
Sulawesi Barat,,,,,1,6,,,4,
Maluku,7,,,,7,11,1,2,7,1
Maluku Utara,4,,,,2,11,,2,,
Papua Barat,,,,,,10,,,,
Papua,2,,,,1,12,,,,
Indonesia,30,,,7,719,784,123,746,1387,18
