Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,,,,,9,110,,51,51,1
Sumatera Utara,2,,,,6,71,,,28,
Sumatera Barat,4,,,,7,24,,8,34,1
Riau,,,,,6,41,,34,11,4
Jambi,,,,,,4,,4,1,
Sumatera Selatan,,,,,9,37,,31,26,
Bengkulu,,,,,2,36,,,6,
Lampung,,,,,7,36,,,27,
Kepulauan Bangka Belitung,,,,,,6,,13,27,1
Kepulauan Riau,,,,,,3,,1,7,
DKI Jakarta,,,,,3,10,,,3,
Jawa Barat,6,,,,305,185,3,5,316,1
Jawa Tengah,,,,,141,181,1,,83,
DI Yogyakarta,,,,,4,7,,,18,
Jawa Timur,2,,,1,56,153,,30,157,1
Banten,1,,,,2,52,,1,24,
Bali,2,,,,15,11,,,6,
Nusa Tenggara Barat,,,,,2,26,,,18,
Nusa Tenggara Timur,,,,,3,31,,1,8,2
Kalimantan Barat,,,,,2,40,,10,5,
Kalimantan Tengah,,,,,,47,,25,4,
Kalimantan Selatan,,,,,3,54,,29,20,
Kalimantan Timur,,,,,10,28,,4,4,
Kalimantan Utara,,,,,5,13,,3,1,
Sulawesi Utara,1,,,,7,28,,,,2
Sulawesi Tengah,,,,,2,88,,,6,3
Sulawesi Selatan,1,,,,19,54,,,71,
Sulawesi Tenggara,1,,,,1,17,,,5,2
Gorontalo,,,,,,32,,,1,
Sulawesi Barat,1,,,,4,27,,,3,
Maluku,2,,,,1,19,,,4,7
Maluku Utara,2,,,,2,33,,,8,
Papua Barat,,,,,,19,,,1,1
Papua,1,,,,,6,,,1,
Indonesia,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,
Catatan,,,,,,,,,,
Data jumlah kejadian bencana alam Nasional masih dalam tahap verifikasi (belum dapat diberikan BNPB),,,,,,,,,,
"Data update per 12 Januari 2023/ Data updates per January 12th, 2023",,,,,,,,,,
