Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,1,,,,5,92,,57,60,3
Sumatera Utara,,,,16,7,32,1,3,34,1
Sumatera Barat,2,,,2,14,50,,1,25,2
Riau,,,,,5,15,,27,6,1
Jambi,,,,,4,7,,11,6,
Sumatera Selatan,,,,,6,33,1,14,23,
Bengkulu,,,,,3,8,,,,
Lampung,,1,,1,4,17,4,,5,1
Kepulauan Bangka Belitung,,,,,,13,,95,9,
Kepulauan Riau,,,,,,4,,,5,
DKI Jakarta,1,,,,8,14,,,10,
Jawa Barat,2,,,,127,75,29,12,108,3
Jawa Tengah,1,,,7,153,82,30,70,238,5
DI Yogyakarta,,,,8,12,4,3,1,90,6
Jawa Timur,2,,,,93,86,20,106,143,7
Banten,1,1,,,8,17,8,1,32,
Bali,12,,,24,55,29,,3,18,4
Nusa Tenggara Barat,4,,,,6,39,9,,15,2
Nusa Tenggara Timur,1,,,,33,28,22,,93,8
Kalimantan Barat,,,,,12,50,,44,26,
Kalimantan Tengah,,,,,4,25,,24,5,1
Kalimantan Selatan,,,,,6,15,,49,26,
Kalimantan Timur,,,,,3,14,,8,6,1
Kalimantan Utara,,,,,,1,,,,
Sulawesi Utara,,,,2,7,10,,,4,
Sulawesi Tengah,,,1,,,7,,,1,1
Sulawesi Selatan,2,,,,27,39,3,1,110,5
Sulawesi Tenggara,,,,,5,17,,,3,
Gorontalo,,,,,2,14,,,1,
Sulawesi Barat,2,,1,,1,5,,,4,
Maluku,,,,,2,5,,,2,
Maluku Utara,1,,,1,2,12,,,4,
Papua Barat,1,,,,,6,,,,
Papua,2,,,,1,6,,,1,2
Indonesia,28,1,1,58,2,14,,,2,4
