Provinsi,Jumlah Bencana Alam - Gempa Bumi,Jumlah Bencana Alam - Tsunami,Jumlah Bencana Alam - Gempa Bumi dan Tsunami,Jumlah Bencana Alam - Letusan Gunung Api,Jumlah Bencana Alam - Tanah Longsor,Jumlah Bencana Alam - Banjir,Jumlah Bencana Alam - Kekeringan,Jumlah Bencana Alam - Kebakaran Hutan dan Lahan,Jumlah Bencana Alam - Cuaca Ekstrem,Jumlah Bencana Alam - Gelombang Pasang/Abrasi
Aceh,,...,...,,11,100,,77,91,
Sumatera Utara,,...,...,,23,83,,13,54,
Sumatera Barat,1,...,...,,18,58,1,16,118,
Riau,,...,...,,7,67,,44,24,6
Jambi,,...,...,,11,37,,24,24,3
Sumatera Selatan,,...,...,,4,39,,24,24,1
Bengkulu,,...,...,,9,25,,,11,
Lampung,,...,...,,5,25,,,46,
Kepulauan Bangka Belitung,,...,...,,2,15,,10,13,
Kepulauan Riau,,...,...,,5,14,,79,6,3
DKI Jakarta,,...,...,,14,20,,,16,
Jawa Barat,1,...,...,,613,247,4,14,478,1
Jawa Tengah,2,...,...,,238,153,4,13,206,6
DI Yogyakarta,1,...,...,,17,6,,,2,
Jawa Timur,4,...,...,1,76,149,5,8,122,1
Banten,,...,...,,14,57,,3,39,
Bali,1,...,...,,63,13,1,1,8,7
Nusa Tenggara Barat,,...,...,,10,79,,,17,6
Nusa Tenggara Timur,1,...,...,,24,59,,1,28,3
Kalimantan Barat,,...,...,,4,45,,10,9,1
Kalimantan Tengah,...,...,...,...,...,...,...,...,...,...
Kalimantan Selatan,,...,...,,12,62,,165,32,1
Kalimantan Timur,,...,...,,46,36,,29,7,1
Kalimantan Utara,,...,...,,32,16,,8,3,1
Sulawesi Utara,1,...,...,,3,23,,1,13,7
Sulawesi Tengah,2,...,...,,4,96,,,36,11
Sulawesi Selatan,1,...,...,,24,68,,,90,3
Sulawesi Tenggara,,...,...,,8,38,,,21,6
Gorontalo,,...,...,,7,22,,,10,
Sulawesi Barat,3,...,...,,4,23,,,9,6
Maluku,6,...,...,,14,23,,,19,5
Maluku Utara,1,...,...,,2,20,,,10,4
Papua Barat,,...,...,,1,5,,1,1,
Papua,,...,...,,1,20,,,3,6
Indonesia,24,...,...,1,1321,1794,15,579,1577,91
